phase,epoch,epoch_in_phase,train_loss,train_accuracy,train_f1_macro,val_loss,val_accuracy,val_f1_macro,learning_rate,epoch_time_seconds
head,1,1,2.021685180104809,0.635545267489712,0.6319499237325162,2.890907614319413,0.9097222222222222,0.9070753320753321,0.001,208.58641910552979
head,2,2,0.4078830391045951,0.926440329218107,0.9263640344082017,0.8511091139581468,0.9143518518518519,0.9128026294692961,0.001,106.03071999549866
head,3,3,0.23902675619831792,0.9508744855967078,0.9507289842428891,0.37389822911333154,0.9236111111111112,0.9226240426240426,0.001,114.6852114200592
head,4,4,0.15597376392947304,0.9709362139917695,0.970861590865048,0.31139093747845403,0.9212962962962963,0.9193796943796944,0.001,115.68960165977478
head,5,5,0.1212192602118347,0.9768518518518519,0.9767414033193383,0.2824115835958057,0.9259259259259259,0.9248781465448133,0.001,118.29561376571655
finetune_last_stage,6,1,0.0963973327551359,0.9843106995884774,0.9842880202342502,0.26945653005882547,0.9259259259259259,0.9242434109100776,5e-05,150.49356722831726
finetune_last_stage,7,2,0.08031712245548704,0.9876543209876543,0.98766024103874,0.26276058510497763,0.9282407407407407,0.9279262712596045,5e-05,117.14831876754761
finetune_last_stage,8,3,0.07209706999392176,0.9907407407407407,0.9907365427611451,0.2528608115734877,0.9328703703703703,0.9321332371332371,5e-05,119.84522414207458
finetune_last_stage,9,4,0.06327476153157865,0.9917695473251029,0.9917684326996389,0.24815144196704583,0.9328703703703703,0.931952861952862,5e-05,115.63193893432617
finetune_last_stage,10,5,0.05817325563465126,0.9935699588477366,0.9935738032137288,0.24406674890606492,0.9305555555555556,0.9297081930415263,5e-05,113.30539727210999
